Date,Equity,Cash
2022-12-09,1831445.425308573,88854.60356556124
2022-12-12,1880704.703125345,88854.60356556124
2022-12-13,1908852.7609599703,88854.60356556124
2022-12-14,1885519.4114001864,88854.60356556124
2022-12-15,1796260.247051584,88854.60356556124
2022-12-16,1755519.6035655611,88854.60356556124
2022-12-19,1725890.0318225496,88854.60356556124
2022-12-20,1730704.8813823336,88854.60356556124
2022-12-21,1780334.3257487887,88854.60356556124
2022-12-22,1724408.5179141634,88854.60356556124
2022-12-23,1742556.7100795382,88854.60356556124
2022-12-27,1728852.91835438,88854.60356556124
2022-12-28,1688112.2748683565,88854.60356556124
2022-12-29,1744038.0827029818,88854.60356556124
2022-12-30,1735149.2818225496,88854.60356556124
2023-01-03,1720334.425308573,88854.60356556124
2023-01-04,1746260.3535655611,88854.60356556124
2023-01-05,1707371.5318225496,88854.60356556124
2023-01-06,1781075.0827029818,88854.60356556124
2023-01-09,1779593.7100795382,88854.60356556124
2023-01-10,1803297.3674739473,88854.60356556124
2023-01-11,1845149.0757487887,88854.60356556124
2023-01-12,1857371.3535655611,88854.60356556124
2023-01-13,1871445.453125345,88854.60356556124
2023-01-17,1864408.3327029818,88854.60356556124
2023-01-18,1808852.8327029818,88854.60356556124
2023-01-19,1782186.2887767428,88854.60356556124
2023-01-20,1844778.7679141634,88854.60356556124
2023-01-23,1885519.4114001864,88854.60356556124
2023-01-24,1881445.4600795382,88854.60356556124
2023-01-25,1884038.0387767428,88854.60356556124
2023-01-26,1922186.1035655611,88854.60356556124
2023-01-27,1930334.2887767428,88854.60356556124
2023-01-30,1883667.589657175,88854.60356556124
2023-01-31,1936260.203125345,88854.60356556124
2023-02-01,1975519.3327029818,88854.60356556124
2023-02-02,1929759.1882116073,272.86821160733234
2023-02-03,1909126.3482116074,272.86821160733234
2023-02-06,1895495.6282116072,272.86821160733234
2023-02-07,1921924.8682116074,272.86821160733234
2023-02-08,1916545.1082116072,272.86821160733234
2023-02-09,1936858.1082116077,272.86821160733234
2023-02-10,1939524.428211607,272.86821160733234
2023-02-13,1952444.2682116074,272.86821160733234
2023-02-14,1965291.308211607,272.86821160733234
2023-02-15,1953751.2682116074,272.86821160733234
2023-02-16,1952043.6282116072,272.86821160733234
